order_item_id,order_id,product_id,quantity,unit_price_aed,discount_pct,line_total_aed
1,1,82,4,510.39,20,1633.25
2,2,361,4,299.24,0,1196.96
3,3,325,3,290.43,0,871.29
4,3,105,3,547.43,0,1642.29
5,3,172,3,63.88,20,153.31
6,4,252,1,1858.25,0,1858.25
7,4,110,4,578.28,0,2313.12
8,5,163,1,40.94,0,40.94
9,5,109,4,82.71,0,330.84
10,5,12,1,2226.2,5,2114.89
11,5,295,2,728.96,5,1385.02
12,5,211,3,119.89,15,305.72
13,6,252,4,1858.25,0,7433.0
14,6,64,2,3533.34,0,7066.68
15,7,258,4,1824.08,0,7296.32
16,7,390,4,405.29,0,1621.16
17,7,268,3,2355.07,20,5652.17
18,7,34,2,636.16,10,1145.09
19,7,260,2,1640.38,0,3280.76
20,8,263,4,717.03,20,2294.5
21,8,327,2,421.35,5,800.56
22,9,135,1,599.55,5,569.57
23,10,34,4,636.16,5,2417.41
24,10,11,3,4112.32,0,12336.96
25,10,29,2,3726.64,0,7453.28
26,11,385,4,126.65,0,506.6
27,11,142,4,92.76,0,371.04
28,12,94,3,657.14,0,1971.42
29,12,91,4,734.04,10,2642.54
30,13,89,1,389.26,0,389.26
31,13,215,1,62.52,0,62.52
32,14,29,1,3726.64,0,3726.64
33,14,78,3,2610.58,10,7048.57
34,15,174,4,66.26,0,265.04
35,16,70,1,303.03,0,303.03
36,16,171,4,81.61,0,326.44
37,17,22,4,3959.9,0,15839.6
38,17,381,2,58.67,0,117.34
39,17,261,3,1508.17,0,4524.51
40,17,242,3,1836.24,10,4957.85
41,17,39,1,3702.31,20,2961.85
42,18,389,3,145.31,15,370.54
43,18,155,2,173.01,0,346.02
44,19,140,2,538.77,0,1077.54
45,19,157,1,682.88,0,682.88
46,19,380,2,87.82,0,175.64
47,19,229,3,19.76,0,59.28
48,19,243,2,1493.13,15,2538.32
49,20,300,1,1465.35,0,1465.35
50,20,277,2,2161.38,0,4322.76
51,20,180,1,21.93,0,21.93
52,21,246,4,958.58,0,3834.32
53,21,285,4,2312.88,0,9251.52
54,21,220,1,131.87,15,112.09
55,22,13,2,2352.59,0,4705.18
56,22,262,1,919.41,20,735.53
57,22,384,1,403.69,5,383.51
58,23,312,2,2081.83,10,3747.29
59,23,374,2,89.06,0,178.12
60,23,321,3,486.68,5,1387.04
61,23,66,3,2571.16,0,7713.48
62,24,34,2,636.16,10,1145.09
63,24,86,4,347.95,5,1322.21
64,25,266,4,452.96,0,1811.84
65,25,193,1,102.32,5,97.2
66,25,128,1,593.17,5,563.51
67,25,150,1,714.72,0,714.72
68,25,381,1,58.67,0,58.67
69,26,380,4,87.82,10,316.15
70,26,298,1,1601.8,0,1601.8
71,26,345,3,278.54,0,835.62
72,26,273,1,1017.28,15,864.69
73,27,371,2,39.39,20,63.02
74,28,159,3,660.92,10,1784.48
75,28,77,1,1649.8,0,1649.8
76,28,10,2,4746.8,0,9493.6
77,28,97,2,103.5,0,207.0
78,28,326,4,301.4,0,1205.6
79,29,30,2,4117.11,0,8234.22
80,30,229,2,19.76,20,31.62
81,30,306,4,995.31,0,3981.24
82,30,393,3,72.46,5,206.51
83,30,148,1,291.32,0,291.32
84,30,1,3,356.81,15,909.87
85,31,211,2,119.89,20,191.82
86,31,160,2,429.24,0,858.48
87,32,60,2,4304.28,10,7747.7
88,32,352,3,79.26,0,237.78
89,32,215,1,62.52,0,62.52
90,32,36,4,1604.84,0,6419.36
91,32,322,1,316.51,0,316.51
92,33,45,2,2776.75,0,5553.5
93,33,16,2,854.2,5,1622.98
94,33,46,4,3985.37,0,15941.48
95,33,371,1,39.39,0,39.39
96,34,196,3,69.53,5,198.16
97,34,372,2,87.27,20,139.63
98,34,24,4,3924.35,20,12557.92
99,35,252,2,1858.25,0,3716.5
100,35,77,4,1649.8,0,6599.2
101,35,133,4,84.1,5,319.58
102,36,361,4,299.24,20,957.57
103,36,199,2,115.85,0,231.7
104,36,180,1,21.93,20,17.54
105,36,358,4,474.27,15,1612.52
106,37,151,2,751.49,5,1427.83
107,37,243,2,1493.13,0,2986.26
108,37,240,1,11.9,0,11.9
109,37,42,1,708.18,10,637.36
110,37,340,3,426.02,5,1214.16
111,38,281,1,2755.41,0,2755.41
112,38,79,4,2641.16,10,9508.18
113,38,57,3,1331.39,0,3994.17
114,38,78,3,2610.58,5,7440.15
115,39,280,1,1389.99,5,1320.49
116,39,282,4,217.72,0,870.88
117,40,265,1,89.71,20,71.77
118,40,142,4,92.76,0,371.04
119,40,301,1,2451.29,0,2451.29
120,40,215,1,62.52,10,56.27
121,40,275,1,1786.61,0,1786.61
122,41,372,2,87.27,0,174.54
123,42,73,4,3037.29,0,12149.16
124,42,52,1,4746.34,0,4746.34
125,42,366,1,325.16,20,260.13
126,42,374,2,89.06,0,178.12
127,43,46,3,3985.37,0,11956.11
128,44,124,1,233.41,10,210.07
129,45,351,1,275.84,10,248.26
130,45,367,3,379.92,0,1139.76
131,45,316,3,2442.49,10,6594.72
132,46,173,2,60.92,10,109.66
133,46,272,1,799.43,0,799.43
134,47,382,4,129.72,5,492.94
135,47,2,1,3611.63,10,3250.47
136,47,242,4,1836.24,0,7344.96
137,47,71,4,892.84,0,3571.36
138,47,400,1,50.02,5,47.52
139,48,247,1,493.95,5,469.25
140,48,252,4,1858.25,0,7433.0
141,48,397,2,117.39,0,234.78
142,49,147,1,191.41,5,181.84
143,49,281,3,2755.41,10,7439.61
144,50,343,2,316.33,0,632.66
145,50,151,4,751.49,20,2404.77
146,50,100,2,224.44,20,359.1
147,51,200,4,75.24,5,285.91
148,52,209,3,149.6,10,403.92
149,53,318,2,2455.81,5,4666.04
150,54,162,2,30.67,0,61.34
151,55,369,4,35.59,5,135.24
152,55,187,4,105.91,10,381.28
153,55,391,2,33.34,0,66.68
154,55,366,3,325.16,0,975.48
155,56,61,3,3529.21,15,8999.49
156,57,173,2,60.92,5,115.75
157,57,165,1,146.11,15,124.19
158,57,382,4,129.72,0,518.88
159,57,392,1,181.23,0,181.23
160,57,57,3,1331.39,10,3594.75
161,58,79,3,2641.16,10,7131.13
162,59,53,1,3210.57,10,2889.51
163,59,14,4,1155.06,0,4620.24
164,59,236,4,99.78,10,359.21
165,59,105,4,547.43,5,2080.23
166,60,152,3,743.68,10,2007.94
167,60,38,2,4598.2,0,9196.4
168,60,155,2,173.01,5,328.72
169,60,258,3,1824.08,0,5472.24
170,61,70,4,303.03,5,1151.51
171,61,6,2,4468.49,0,8936.98
172,61,229,1,19.76,15,16.8
173,62,65,4,3729.05,5,14170.39
174,62,112,4,687.88,15,2338.79
175,62,271,1,1645.33,10,1480.8
176,62,221,4,74.96,5,284.85
177,62,370,2,121.72,0,243.44
178,63,296,1,715.9,20,572.72
179,63,215,3,62.52,5,178.18
180,64,305,3,617.15,0,1851.45
181,64,238,4,9.53,15,32.4
182,64,256,1,2710.24,0,2710.24
183,64,364,3,434.88,0,1304.64
184,64,174,2,66.26,0,132.52
185,65,390,1,405.29,10,364.76
186,66,316,3,2442.49,0,7327.47
187,66,279,3,1508.62,10,4073.27
188,67,16,4,854.2,20,2733.44
189,67,93,1,311.97,0,311.97
190,68,389,4,145.31,15,494.05
191,68,10,4,4746.8,15,16139.12
192,68,111,1,664.19,15,564.56
193,68,42,1,708.18,15,601.95
194,69,235,4,77.88,5,295.94
195,69,94,1,657.14,15,558.57
196,69,130,4,586.14,0,2344.56
197,69,144,3,579.67,10,1565.11
198,70,32,3,424.0,0,1272.0
199,70,81,2,653.33,10,1175.99
200,70,180,2,21.93,0,43.86
201,71,334,4,319.08,0,1276.32
202,71,25,4,3804.34,10,13695.62
203,71,153,4,544.99,0,2179.96
204,72,330,4,341.88,0,1367.52
205,72,156,3,750.17,0,2250.51
206,72,183,1,83.45,5,79.28
207,72,106,4,534.73,0,2138.92
208,72,302,1,1109.67,0,1109.67
209,73,396,3,142.52,10,384.8
210,73,40,3,3282.53,15,8370.45
211,74,127,2,631.3,0,1262.6
212,74,106,2,534.73,0,1069.46
213,75,177,2,129.16,20,206.66
214,75,31,3,339.41,0,1018.23
215,75,59,1,3414.13,0,3414.13
216,76,127,4,631.3,0,2525.2
217,76,202,1,49.51,0,49.51
