product_id,product_name,category,subcategory,unit_price_aed,supplier_id
1,Mobile Phones - Kid Then,Electronics,Mobile Phones,356.81,21
2,Home Appliances - Though Around,Electronics,Home Appliances,3611.63,5
3,Home Appliances - Matter Least,Electronics,Home Appliances,2030.86,19
4,Mobile Phones - Truth Carry,Electronics,Mobile Phones,934.36,21
5,Mobile Phones - Include Father,Electronics,Mobile Phones,3303.84,16
6,Accessories - Discover Section,Electronics,Accessories,4468.49,3
7,Accessories - Never Sell,Electronics,Accessories,1464.78,2
8,Home Appliances - Wrong Health,Electronics,Home Appliances,1197.63,11
9,Mobile Phones - Action Administration,Electronics,Mobile Phones,944.8,18
10,Home Appliances - Page Gas,Electronics,Home Appliances,4746.8,6
11,Laptops - Drive Major,Electronics,Laptops,4112.32,20
12,Home Appliances - Consumer Decision,Electronics,Home Appliances,2226.2,11
13,Laptops - Experience Land,Electronics,Laptops,2352.59,11
14,Laptops - Believe Light,Electronics,Laptops,1155.06,5
15,Laptops - That Large,Electronics,Laptops,3193.32,8
16,Mobile Phones - Reason Choice,Electronics,Mobile Phones,854.2,5
17,Home Appliances - Tough Dog,Electronics,Home Appliances,2126.11,4
18,Laptops - Report Bring,Electronics,Laptops,1181.17,1
19,Laptops - Describe Trip,Electronics,Laptops,305.44,7
20,Home Appliances - Various Decade,Electronics,Home Appliances,2159.8,15
21,Mobile Phones - Stop Item,Electronics,Mobile Phones,3723.5,4
22,Accessories - Building Actually,Electronics,Accessories,3959.9,12
23,Mobile Phones - Question Write,Electronics,Mobile Phones,2300.19,14
24,Laptops - Structure Prepare,Electronics,Laptops,3924.35,20
25,Home Appliances - Event Fear,Electronics,Home Appliances,3804.34,11
26,Laptops - Seem Better,Electronics,Laptops,4513.5,2
27,Laptops - Learn Firm,Electronics,Laptops,1534.37,12
28,Laptops - Certain Wrong,Electronics,Laptops,469.04,6
29,Laptops - Decision Senior,Electronics,Laptops,3726.64,18
30,Home Appliances - Bit Improve,Electronics,Home Appliances,4117.11,6
31,Laptops - Happy Fact,Electronics,Laptops,339.41,9
32,Laptops - We Technology,Electronics,Laptops,424.0,18
33,Home Appliances - Field But,Electronics,Home Appliances,2400.57,19
34,Mobile Phones - Whole Smile,Electronics,Mobile Phones,636.16,23
35,Laptops - Debate Machine,Electronics,Laptops,4796.54,22
36,Laptops - Could Majority,Electronics,Laptops,1604.84,12
37,Mobile Phones - Many Reason,Electronics,Mobile Phones,2308.86,24
38,Accessories - Want Important,Electronics,Accessories,4598.2,9
39,Accessories - Necessary High,Electronics,Accessories,3702.31,4
40,Accessories - Me Kitchen,Electronics,Accessories,3282.53,23
41,Accessories - Wall Why,Electronics,Accessories,1741.35,9
42,Accessories - Soldier Almost,Electronics,Accessories,708.18,20
43,Laptops - Knowledge Town,Electronics,Laptops,4643.16,2
44,Accessories - Room Detail,Electronics,Accessories,1926.85,18
45,Laptops - Street Enter,Electronics,Laptops,2776.75,15
46,Laptops - Pm Final,Electronics,Laptops,3985.37,16
47,Laptops - Couple Price,Electronics,Laptops,1829.5,3
48,Laptops - Answer Tell,Electronics,Laptops,946.65,20
49,Mobile Phones - Fall Up,Electronics,Mobile Phones,4052.79,19
50,Home Appliances - Later Table,Electronics,Home Appliances,2049.33,25
51,Home Appliances - Available Material,Electronics,Home Appliances,3620.54,17
52,Laptops - Generation Toward,Electronics,Laptops,4746.34,16
53,Laptops - Grow Black,Electronics,Laptops,3210.57,15
54,Mobile Phones - Much Oil,Electronics,Mobile Phones,4013.26,4
55,Laptops - Let Again,Electronics,Laptops,605.77,2
56,Mobile Phones - Before Thing,Electronics,Mobile Phones,2748.4,17
57,Mobile Phones - Throughout Miss,Electronics,Mobile Phones,1331.39,12
58,Accessories - President Power,Electronics,Accessories,4075.24,24
59,Mobile Phones - Other Current,Electronics,Mobile Phones,3414.13,3
60,Accessories - Consider Firm,Electronics,Accessories,4304.28,16
61,Home Appliances - Save Cover,Electronics,Home Appliances,3529.21,21
62,Laptops - Analysis Us,Electronics,Laptops,3071.67,12
63,Mobile Phones - Concern Few,Electronics,Mobile Phones,3021.23,20
64,Home Appliances - Opportunity Discuss,Electronics,Home Appliances,3533.34,6
65,Home Appliances - Light Foot,Electronics,Home Appliances,3729.05,25
66,Mobile Phones - Example Sport,Electronics,Mobile Phones,2571.16,6
67,Laptops - Example Bank,Electronics,Laptops,882.1,16
68,Accessories - Specific Model,Electronics,Accessories,3792.5,8
69,Laptops - Concern Discuss,Electronics,Laptops,2876.27,6
70,Laptops - Exist Hair,Electronics,Laptops,303.03,10
71,Laptops - Later Statement,Electronics,Laptops,892.84,13
72,Laptops - Government Style,Electronics,Laptops,2009.04,11
73,Home Appliances - Debate More,Electronics,Home Appliances,3037.29,21
74,Accessories - Than Improve,Electronics,Accessories,4279.99,7
75,Laptops - Page Especially,Electronics,Laptops,3752.18,1
76,Laptops - List Over,Electronics,Laptops,1171.31,10
77,Home Appliances - Sort Activity,Electronics,Home Appliances,1649.8,1
78,Home Appliances - Company Her,Electronics,Home Appliances,2610.58,17
79,Accessories - Two Finally,Electronics,Accessories,2641.16,19
80,Home Appliances - Spring North,Electronics,Home Appliances,256.37,15
81,Men's Wear - Hope Skill,Fashion,Men's Wear,653.33,1
82,Footwear - Down Human,Fashion,Footwear,510.39,13
83,Footwear - Thousand Sort,Fashion,Footwear,103.53,25
84,Footwear - Certain Kid,Fashion,Footwear,192.1,22
85,Watches - Operation Out,Fashion,Watches,422.63,20
86,Women's Wear - Analysis Fast,Fashion,Women's Wear,347.95,21
87,Women's Wear - Rise Manage,Fashion,Women's Wear,169.97,20
